VOTER,SINGER,SCORE,,,,,,,,
Belgium,Hungary,2,2,,,,belgium,hungary,2,"""belgium"": {""hungary"":1.8,},"
Belgium,Iceland,1,2,,,,belgium,iceland,2,"""belgium"": {""iceland"":1.5,},"
Belgium,Ireland,1,2,,,,belgium,ireland,2,"""belgium"": {""ireland"":1.5,},"
Belgium,Israel,3,4,,,,belgium,israel,4,"""belgium"": {""israel"":3.5,},"
Belgium,Italy,3,3,,,,belgium,italy,3,"""belgium"": {""italy"":3,},"
Belgium,Latvia,4,4,,,,belgium,latvia,4,"""belgium"": {""latvia"":3.6,},"
Belgium,Lithuania,1,1,,,,belgium,lithuania,1,"""belgium"": {""lithuania"":0.5,},"
Belgium,Malta,2,2,,,,belgium,malta,2,"""belgium"": {""malta"":1.7,},"
Belgium,Moldova,1,1,,,,belgium,moldova,1,"""belgium"": {""moldova"":1.1,},"
Belgium,Montenegro,0,0,,,,belgium,montenegro,0,"""belgium"": {""montenegro"":0,},"
Belgium,Norway,3,3,,,,belgium,norway,3,"""belgium"": {""norway"":3,},"
Belgium,Poland,1,1,,,,belgium,poland,1,"""belgium"": {""poland"":0.6,},"
Belgium,Portugal,2,2,,,,belgium,portugal,2,"""belgium"": {""portugal"":2.4,},"
Belgium,Romania,2,2,,,,belgium,romania,2,"""belgium"": {""romania"":1.8,},"
Belgium,Russia,2,2,,,,belgium,russia,2,"""belgium"": {""russia"":2.1,},"
Belgium,San Marino,0,0,,,,belgium,san marino,0,"""belgium"": {""san marino"":0,},"
Belgium,Serbia,2,2,,,,belgium,serbia,2,"""belgium"": {""serbia"":2.1,},"
Belgium,Slovakia,0,0,,,,belgium,slovakia,0,"""belgium"": {""slovakia"":0,},"
Belgium,Slovenia,0,0,,,,belgium,slovenia,0,"""belgium"": {""slovenia"":0.4,},"
Belgium,Spain,3,3,,,,belgium,spain,3,"""belgium"": {""spain"":3.3,},"
Belgium,Sweden,4,4,,,,belgium,sweden,4,"""belgium"": {""sweden"":3.6,},"
Belgium,Switzerland,0,0,,,,belgium,switzerland,0,"""belgium"": {""switzerland"":0.3,},"
Belgium,The Netherlands,8,8,,,,belgium,the netherlands,8,"""belgium"": {""the netherlands"":8.4,},"
Belgium,Turkey,6,7,,,,belgium,turkey,7,"""belgium"": {""turkey"":6.5,},"
Belgium,U.K.,2,2,,,,belgium,u.k.,2,"""belgium"": {""u.k."":1.8,},"
Belgium,Ukraine,2,2,,,,belgium,ukraine,2,"""belgium"": {""ukraine"":1.6,},"
Bosnia & Herzegovina,Bosnia & Herzegovina,-1,-1,,,,bosnia & herzegovina,bosnia & herzegovina,-1,"""bosnia & herzegovina"": {""bosnia & herzegovina"":-1,},"
Bosnia & Herzegovina,Montenegro,-1,-1,,,,bosnia & herzegovina,montenegro,-1,"""bosnia & herzegovina"": {""montenegro"":-1,},"
Bosnia & Herzegovina,San Marino,-1,-1,,,,bosnia & herzegovina,san marino,-1,"""bosnia & herzegovina"": {""san marino"":-1,},"
Bosnia & Herzegovina,Albania,4,4,,,,bosnia & herzegovina,albania,4,"""bosnia & herzegovina"": {""albania"":3.5,},"
Bosnia & Herzegovina,Armenia,1,1,,,,bosnia & herzegovina,armenia,1,"""bosnia & herzegovina"": {""armenia"":1.2,},"
Bosnia & Herzegovina,Austria,2,2,,,,bosnia & herzegovina,austria,2,"""bosnia & herzegovina"": {""austria"":2.3,},"
Bosnia & Herzegovina,Azerbaijan,5,5,,,,bosnia & herzegovina,azerbaijan,5,"""bosnia & herzegovina"": {""azerbaijan"":5,},"
Bosnia & Herzegovina,Belarus,2,2,,,,bosnia & herzegovina,belarus,2,"""bosnia & herzegovina"": {""belarus"":2,},"
Bosnia & Herzegovina,Belgium,1,1,,,,bosnia & herzegovina,belgium,1,"""bosnia & herzegovina"": {""belgium"":1.4,},"
Bosnia & Herzegovina,Bulgaria,6,6,,,,bosnia & herzegovina,bulgaria,6,"""bosnia & herzegovina"": {""bulgaria"":6,},"
Bosnia & Herzegovina,Croatia,8,8,,,,bosnia & herzegovina,croatia,8,"""bosnia & herzegovina"": {""croatia"":8.4,},"
Bosnia & Herzegovina,Cyprus,0,0,,,,bosnia & herzegovina,cyprus,0,"""bosnia & herzegovina"": {""cyprus"":0,},"
Bosnia & Herzegovina,Denmark,0,0,,,,bosnia & herzegovina,denmark,0,"""bosnia & herzegovina"": {""denmark"":0.3,},"
Bosnia & Herzegovina,Estonia,2,2,,,,bosnia & herzegovina,estonia,2,"""bosnia & herzegovina"": {""estonia"":2,},"
Bosnia & Herzegovina,F.Y.R. Macedonia,7,7,,,,bosnia & herzegovina,f.y.r. macedonia,7,"""bosnia & herzegovina"": {""f.y.r. macedonia"":7.2,},"
Bosnia & Herzegovina,Finland,1,1,,,,bosnia & herzegovina,finland,1,"""bosnia & herzegovina"": {""finland"":1.4,},"
Bosnia & Herzegovina,France,3,3,,,,bosnia & herzegovina,france,3,"""bosnia & herzegovina"": {""france"":2.9,},"
Bosnia & Herzegovina,Georgia,1,1,,,,bosnia & herzegovina,georgia,1,"""bosnia & herzegovina"": {""georgia"":1.3,},"
Bosnia & Herzegovina,Germany,2,2,,,,bosnia & herzegovina,germany,2,"""bosnia & herzegovina"": {""germany"":1.7,},"
Bosnia & Herzegovina,Greece,3,3,,,,bosnia & herzegovina,greece,3,"""bosnia & herzegovina"": {""greece"":2.8,},"
Bosnia & Herzegovina,Hungary,0,0,,,,bosnia & herzegovina,hungary,0,"""bosnia & herzegovina"": {""hungary"":0.2,},"
Bosnia & Herzegovina,Iceland,0,0,,,,bosnia & herzegovina,iceland,0,"""bosnia & herzegovina"": {""iceland"":0.1,},"
Bosnia & Herzegovina,Ireland,2,2,,,,bosnia & herzegovina,ireland,2,"""bosnia & herzegovina"": {""ireland"":2.3,},"
Bosnia & Herzegovina,Israel,3,3,,,,bosnia & herzegovina,israel,3,"""bosnia & herzegovina"": {""israel"":2.9,},"
Bosnia & Herzegovina,Italy,4,4,,,,bosnia & herzegovina,italy,4,"""bosnia & herzegovina"": {""italy"":4,},"
Bosnia & Herzegovina,Latvia,1,1,,,,bosnia & herzegovina,latvia,1,"""bosnia & herzegovina"": {""latvia"":0.7,},"
Bosnia & Herzegovina,Lithuania,0,0,,,,bosnia & herzegovina,lithuania,0,"""bosnia & herzegovina"": {""lithuania"":0.3,},"
Bosnia & Herzegovina,Malta,3,3,,,,bosnia & herzegovina,malta,3,"""bosnia & herzegovina"": {""malta"":2.5,},"
Bosnia & Herzegovina,Moldova,1,1,,,,bosnia & herzegovina,moldova,1,"""bosnia & herzegovina"": {""moldova"":0.6,},"
Bosnia & Herzegovina,Norway,1,2,,,,bosnia & herzegovina,norway,2,"""bosnia & herzegovina"": {""norway"":1.5,},"
Bosnia & Herzegovina,Poland,2,2,,,,bosnia & herzegovina,poland,2,"""bosnia & herzegovina"": {""poland"":2.1,},"
Bosnia & Herzegovina,Portugal,0,0,,,,bosnia & herzegovina,portugal,0,"""bosnia & herzegovina"": {""portugal"":0.2,},"
Bosnia & Herzegovina,Romania,1,1,,,,bosnia & herzegovina,romania,1,"""bosnia & herzegovina"": {""romania"":1.2,},"
Bosnia & Herzegovina,Russia,1,1,,,,bosnia & herzegovina,russia,1,"""bosnia & herzegovina"": {""russia"":1.3,},"
Bosnia & Herzegovina,Serbia,11,11,,,,bosnia & herzegovina,serbia,11,"""bosnia & herzegovina"": {""serbia"":11.1,},"
Bosnia & Herzegovina,Slovakia,0,0,,,,bosnia & herzegovina,slovakia,0,"""bosnia & herzegovina"": {""slovakia"":0,},"
Bosnia & Herzegovina,Slovenia,7,7,,,,bosnia & herzegovina,slovenia,7,"""bosnia & herzegovina"": {""slovenia"":6.7,},"
Bosnia & Herzegovina,Spain,2,2,,,,bosnia & herzegovina,spain,2,"""bosnia & herzegovina"": {""spain"":1.5,},"
Bosnia & Herzegovina,Sweden,3,4,,,,bosnia & herzegovina,sweden,4,"""bosnia & herzegovina"": {""sweden"":3.5,},"
Bosnia & Herzegovina,Switzerland,1,1,,,,bosnia & herzegovina,switzerland,1,"""bosnia & herzegovina"": {""switzerland"":0.7,},"
Bosnia & Herzegovina,The Netherlands,1,1,,,,bosnia & herzegovina,the netherlands,1,"""bosnia & herzegovina"": {""the netherlands"":1.3,},"
Bosnia & Herzegovina,Turkey,6,6,,,,bosnia & herzegovina,turkey,6,"""bosnia & herzegovina"": {""turkey"":6.2,},"
Bosnia & Herzegovina,U.K.,2,2,,,,bosnia & herzegovina,u.k.,2,"""bosnia & herzegovina"": {""u.k."":1.6,},"
Bosnia & Herzegovina,Ukraine,2,2,,,,bosnia & herzegovina,ukraine,2,"""bosnia & herzegovina"": {""ukraine"":1.9,},"
Bulgaria,Bulgaria,-1,-1,,,,bulgaria,bulgaria,-1,"""bulgaria"": {""bulgaria"":-1,},"
Bulgaria,Montenegro,-1,-1,,,,bulgaria,montenegro,-1,"""bulgaria"": {""montenegro"":-1,},"
Bulgaria,San Marino,-1,-1,,,,bulgaria,san marino,-1,"""bulgaria"": {""san marino"":-1,},"
Bulgaria,Slovakia,-1,-1,,,,bulgaria,slovakia,-1,"""bulgaria"": {""slovakia"":-1,},"
Bulgaria,Albania,1,1,,,,bulgaria,albania,1,"""bulgaria"": {""albania"":0.8,},"
Bulgaria,Armenia,8,8,,,,bulgaria,armenia,8,"""bulgaria"": {""armenia"":7.7,},"
Bulgaria,Austria,5,5,,,,bulgaria,austria,5,"""bulgaria"": {""austria"":5,},"
Bulgaria,Azerbaijan,8,8,,,,bulgaria,azerbaijan,8,"""bulgaria"": {""azerbaijan"":7.5,},"
Bulgaria,Belarus,1,1,,,,bulgaria,belarus,1,"""bulgaria"": {""belarus"":0.7,},"
Bulgaria,Belgium,0,0,,,,bulgaria,belgium,0,"""bulgaria"": {""belgium"":0,},"
Bulgaria,Bosnia & Herzegovina,2,2,,,,bulgaria,bosnia & herzegovina,2,"""bulgaria"": {""bosnia & herzegovina"":1.6,},"
Bulgaria,Croatia,1,1,,,,bulgaria,croatia,1,"""bulgaria"": {""croatia"":0.5,},"
Bulgaria,Cyprus,5,5,,,,bulgaria,cyprus,5,"""bulgaria"": {""cyprus"":4.7,},"
Bulgaria,Denmark,1,1,,,,bulgaria,denmark,1,"""bulgaria"": {""denmark"":1.1,},"
Bulgaria,Estonia,0,0,,,,bulgaria,estonia,0,"""bulgaria"": {""estonia"":0,},"
Bulgaria,F.Y.R. Macedonia,6,6,,,,bulgaria,f.y.r. macedonia,6,"""bulgaria"": {""f.y.r. macedonia"":6.3,},"
Bulgaria,Finland,1,1,,,,bulgaria,finland,1,"""bulgaria"": {""finland"":1.3,},"
Bulgaria,France,0,0,,,,bulgaria,france,0,"""bulgaria"": {""france"":0,},"
Bulgaria,Georgia,1,1,,,,bulgaria,georgia,1,"""bulgaria"": {""georgia"":1.4,},"
Bulgaria,Germany,2,2,,,,bulgaria,germany,2,"""bulgaria"": {""germany"":1.7,},"
Bulgaria,Greece,9,9,,,,bulgaria,greece,9,"""bulgaria"": {""greece"":9,},"
Bulgaria,Hungary,2,2,,,,bulgaria,hungary,2,"""bulgaria"": {""hungary"":2.2,},"
Bulgaria,Iceland,1,1,,,,bulgaria,iceland,1,"""bulgaria"": {""iceland"":0.8,},"
Bulgaria,Ireland,1,1,,,,bulgaria,ireland,1,"""bulgaria"": {""ireland"":0.5,},"
Bulgaria,Israel,0,0,,,,bulgaria,israel,0,"""bulgaria"": {""israel"":0.4,},"
Bulgaria,Italy,0,0,,,,bulgaria,italy,0,"""bulgaria"": {""italy"":0,},"
Bulgaria,Latvia,0,0,,,,bulgaria,latvia,0,"""bulgaria"": {""latvia"":0,},"
Bulgaria,Lithuania,1,1,,,,bulgaria,lithuania,1,"""bulgaria"": {""lithuania"":1.2,},"
Bulgaria,Malta,0,0,,,,bulgaria,malta,0,"""bulgaria"": {""malta"":0,},"
Bulgaria,Moldova,2,2,,,,bulgaria,moldova,2,"""bulgaria"": {""moldova"":1.6,},"
Bulgaria,Norway,1,1,,,,bulgaria,norway,1,"""bulgaria"": {""norway"":0.7,},"
Bulgaria,Poland,0,0,,,,bulgaria,poland,0,"""bulgaria"": {""poland"":0,},"
Bulgaria,Portugal,0,0,,,,bulgaria,portugal,0,"""bulgaria"": {""portugal"":0,},"
Bulgaria,Romania,2,2,,,,bulgaria,romania,2,"""bulgaria"": {""romania"":2,},"
Bulgaria,Russia,4,4,,,,bulgaria,russia,4,"""bulgaria"": {""russia"":4,},"
Bulgaria,Serbia,4,4,,,,bulgaria,serbia,4,"""bulgaria"": {""serbia"":4.3,},"
Bulgaria,Slovenia,0,0,,,,bulgaria,slovenia,0,"""bulgaria"": {""slovenia"":0,},"
Bulgaria,Spain,1,1,,,,bulgaria,spain,1,"""bulgaria"": {""spain"":0.6,},"
Bulgaria,Sweden,2,2,,,,bulgaria,sweden,2,"""bulgaria"": {""sweden"":1.5,},"
Bulgaria,Switzerland,0,0,,,,bulgaria,switzerland,0,"""bulgaria"": {""switzerland"":0,},"
Bulgaria,The Netherlands,0,0,,,,bulgaria,the netherlands,0,"""bulgaria"": {""the netherlands"":0,},"
Bulgaria,Turkey,7,7,,,,bulgaria,turkey,7,"""bulgaria"": {""turkey"":6.6,},"
Bulgaria,U.K.,2,2,,,,bulgaria,u.k.,2,"""bulgaria"": {""u.k."":2.1,},"
Bulgaria,Ukraine,4,4,,,,bulgaria,ukraine,4,"""bulgaria"": {""ukraine"":4.2,},"
Croatia,Croatia,-1,-1,,,,croatia,croatia,-1,"""croatia"": {""croatia"":-1,},"
Croatia,Montenegro,-1,-1,,,,croatia,montenegro,-1,"""croatia"": {""montenegro"":-1,},"
Croatia,San Marino,-1,-1,,,,croatia,san marino,-1,"""croatia"": {""san marino"":-1,},"
Croatia,Albania,5,5,,,,croatia,albania,5,"""croatia"": {""albania"":5.2,},"
Croatia,Armenia,0,0,,,,croatia,armenia,0,"""croatia"": {""armenia"":0,},"
Croatia,Austria,1,1,,,,croatia,austria,1,"""croatia"": {""austria"":0.9,},"
Croatia,Azerbaijan,5,5,,,,croatia,azerbaijan,5,"""croatia"": {""azerbaijan"":4.5,},"
Croatia,Belarus,0,0,,,,croatia,belarus,0,"""croatia"": {""belarus"":0,},"
Croatia,Belgium,1,1,,,,croatia,belgium,1,"""croatia"": {""belgium"":0.6,},"
Croatia,Bosnia & Herzegovina,8,8,,,,croatia,bosnia & herzegovina,8,"""croatia"": {""bosnia & herzegovina"":8.2,},"
Croatia,Bulgaria,6,6,,,,croatia,bulgaria,6,"""croatia"": {""bulgaria"":6,},"
Croatia,Cyprus,3,3,,,,croatia,cyprus,3,"""croatia"": {""cyprus"":3.2,},"
Croatia,Denmark,2,2,,,,croatia,denmark,2,"""croatia"": {""denmark"":1.7,},"
Croatia,Estonia,2,2,,,,croatia,estonia,2,"""croatia"": {""estonia"":1.6,},"
Croatia,F.Y.R. Macedonia,7,7,,,,croatia,f.y.r. macedonia,7,"""croatia"": {""f.y.r. macedonia"":7.1,},"
Croatia,Finland,1,1,,,,croatia,finland,1,"""croatia"": {""finland"":1,},"
Croatia,France,1,1,,,,croatia,france,1,"""croatia"": {""france"":0.9,},"
Croatia,Georgia,2,2,,,,croatia,georgia,2,"""croatia"": {""georgia"":1.8,},"
Croatia,Germany,1,1,,,,croatia,germany,1,"""croatia"": {""germany"":1.2,},"
Croatia,Greece,3,3,,,,croatia,greece,3,"""croatia"": {""greece"":2.9,},"
Croatia,Hungary,2,2,,,,croatia,hungary,2,"""croatia"": {""hungary"":2,},"
Croatia,Iceland,1,1,,,,croatia,iceland,1,"""croatia"": {""iceland"":0.6,},"
Croatia,Ireland,2,2,,,,croatia,ireland,2,"""croatia"": {""ireland"":2.1,},"
Croatia,Israel,1,1,,,,croatia,israel,1,"""croatia"": {""israel"":1.2,},"
Croatia,Italy,5,5,,,,croatia,italy,5,"""croatia"": {""italy"":5,},"
Croatia,Latvia,2,2,,,,croatia,latvia,2,"""croatia"": {""latvia"":1.8,},"
Croatia,Lithuania,1,1,,,,croatia,lithuania,1,"""croatia"": {""lithuania"":1.1,},"
Croatia,Malta,5,5,,,,croatia,malta,5,"""croatia"": {""malta"":4.7,},"
Croatia,Moldova,1,1,,,,croatia,moldova,1,"""croatia"": {""moldova"":0.6,},"
Croatia,Norway,2,2,,,,croatia,norway,2,"""croatia"": {""norway"":1.5,},"
Croatia,Poland,0,0,,,,croatia,poland,0,"""croatia"": {""poland"":0,},"
Croatia,Portugal,1,1,,,,croatia,portugal,1,"""croatia"": {""portugal"":1.3,},"
Croatia,Romania,1,1,,,,croatia,romania,1,"""croatia"": {""romania"":0.9,},"
Croatia,Russia,4,4,,,,croatia,russia,4,"""croatia"": {""russia"":3.6,},"
Croatia,Serbia,11,11,,,,croatia,serbia,11,"""croatia"": {""serbia"":10.6,},"
Croatia,Slovakia,4,4,,,,croatia,slovakia,4,"""croatia"": {""slovakia"":4,},"
Croatia,Slovenia,6,6,,,,croatia,slovenia,6,"""croatia"": {""slovenia"":6.4,},"
Croatia,Spain,2,2,,,,croatia,spain,2,"""croatia"": {""spain"":1.5,},"
Croatia,Sweden,1,1,,,,croatia,sweden,1,"""croatia"": {""sweden"":1.2,},"
Croatia,Switzerland,0,0,,,,croatia,switzerland,0,"""croatia"": {""switzerland"":0.4,},"
Croatia,The Netherlands,2,2,,,,croatia,the netherlands,2,"""croatia"": {""the netherlands"":1.6,},"
Croatia,Turkey,3,3,,,,croatia,turkey,3,"""croatia"": {""turkey"":2.8,},"
Croatia,U.K.,3,3,,,,croatia,u.k.,3,"""croatia"": {""u.k."":2.5,},"
Croatia,Ukraine,4,4,,,,croatia,ukraine,4,"""croatia"": {""ukraine"":3.7,},"
Cyprus,Cyprus,-1,-1,,,,cyprus,cyprus,-1,"""cyprus"": {""cyprus"":-1,},"
Cyprus,Montenegro,-1,-1,,,,cyprus,montenegro,-1,"""cyprus"": {""montenegro"":-1,},"
Cyprus,San Marino,-1,-1,,,,cyprus,san marino,-1,"""cyprus"": {""san marino"":-1,},"
Cyprus,Albania,1,1,,,,cyprus,albania,1,"""cyprus"": {""albania"":0.7,},"
Cyprus,Armenia,6,6,,,,cyprus,armenia,6,"""cyprus"": {""armenia"":6,},"
Cyprus,Austria,1,1,,,,cyprus,austria,1,"""cyprus"": {""austria"":0.7,},"
Cyprus,Azerbaijan,7,7,,,,cyprus,azerbaijan,7,"""cyprus"": {""azerbaijan"":7,},"
Cyprus,Belarus,2,2,,,,cyprus,belarus,2,"""cyprus"": {""belarus"":2,},"
Cyprus,Belgium,1,1,,,,cyprus,belgium,1,"""cyprus"": {""belgium"":1,},"
Cyprus,Bosnia & Herzegovina,0,0,,,,cyprus,bosnia & herzegovina,0,"""cyprus"": {""bosnia & herzegovina"":0.1,},"
Cyprus,Bulgaria,10,10,,,,cyprus,bulgaria,10,"""cyprus"": {""bulgaria"":10,},"
Cyprus,Croatia,2,3,,,,cyprus,croatia,3,"""cyprus"": {""croatia"":2.5,},"
Cyprus,Denmark,2,2,,,,cyprus,denmark,2,"""cyprus"": {""denmark"":2.2,},"
Cyprus,Estonia,2,2,,,,cyprus,estonia,2,"""cyprus"": {""estonia"":1.5,},"
Cyprus,F.Y.R. Macedonia,1,1,,,,cyprus,f.y.r. macedonia,1,"""cyprus"": {""f.y.r. macedonia"":0.6,},"
Cyprus,Finland,1,1,,,,cyprus,finland,1,"""cyprus"": {""finland"":0.7,},"
Cyprus,France,1,1,,,,cyprus,france,1,"""cyprus"": {""france"":0.9,},"
Cyprus,Georgia,3,3,,,,cyprus,georgia,3,"""cyprus"": {""georgia"":2.6,},"
Cyprus,Germany,0,0,,,,cyprus,germany,0,"""cyprus"": {""germany"":0.2,},"
Cyprus,Greece,12,12,,,,cyprus,greece,12,"""cyprus"": {""greece"":11.9,},"
Cyprus,Hungary,1,1,,,,cyprus,hungary,1,"""cyprus"": {""hungary"":0.9,},"
Cyprus,Iceland,2,2,,,,cyprus,iceland,2,"""cyprus"": {""iceland"":1.8,},"
Cyprus,Ireland,2,2,,,,cyprus,ireland,2,"""cyprus"": {""ireland"":2.1,},"
Cyprus,Israel,3,3,,,,cyprus,israel,3,"""cyprus"": {""israel"":2.9,},"
Cyprus,Italy,4,4,,,,cyprus,italy,4,"""cyprus"": {""italy"":3.8,},"
Cyprus,Latvia,1,1,,,,cyprus,latvia,1,"""cyprus"": {""latvia"":0.9,},"
Cyprus,Lithuania,1,1,,,,cyprus,lithuania,1,"""cyprus"": {""lithuania"":1.1,},"
Cyprus,Malta,3,3,,,,cyprus,malta,3,"""cyprus"": {""malta"":3.3,},"
Cyprus,Moldova,1,1,,,,cyprus,moldova,1,"""cyprus"": {""moldova"":0.5,},"
Cyprus,Norway,2,3,,,,cyprus,norway,3,"""cyprus"": {""norway"":2.5,},"
Cyprus,Poland,1,1,,,,cyprus,poland,1,"""cyprus"": {""poland"":0.8,},"
Cyprus,Portugal,2,2,,,,cyprus,portugal,2,"""cyprus"": {""portugal"":1.6,},"
Cyprus,Romania,4,4,,,,cyprus,romania,4,"""cyprus"": {""romania"":3.7,},"
Cyprus,Russia,5,5,,,,cyprus,russia,5,"""cyprus"": {""russia"":4.7,},"
Cyprus,Serbia,5,5,,,,cyprus,serbia,5,"""cyprus"": {""serbia"":5.1,},"
Cyprus,Slovakia,0,0,,,,cyprus,slovakia,0,"""cyprus"": {""slovakia"":0,},"
Cyprus,Slovenia,1,1,,,,cyprus,slovenia,1,"""cyprus"": {""slovenia"":1.2,},"
Cyprus,Spain,4,4,,,,cyprus,spain,4,"""cyprus"": {""spain"":3.7,},"
Cyprus,Sweden,2,2,,,,cyprus,sweden,2,"""cyprus"": {""sweden"":2.2,},"
Cyprus,Switzerland,1,1,,,,cyprus,switzerland,1,"""cyprus"": {""switzerland"":0.9,},"
Cyprus,The Netherlands,1,1,,,,cyprus,the netherlands,1,"""cyprus"": {""the netherlands"":1.3,},"
Cyprus,Turkey,1,1,,,,cyprus,turkey,1,"""cyprus"": {""turkey"":0.8,},"
Cyprus,U.K.,2,2,,,,cyprus,u.k.,2,"""cyprus"": {""u.k."":2.2,},"
Cyprus,Ukraine,4,4,,,,cyprus,ukraine,4,"""cyprus"": {""ukraine"":4.1,},"
Czech Republic,Austria,-1,-1,,,,czech republic,austria,-1,"""czech republic"": {""austria"":-1,},"
Czech Republic,Belgium,-1,-1,,,,czech republic,belgium,-1,"""czech republic"": {""belgium"":-1,},"
Czech Republic,Cyprus,-1,-1,,,,czech republic,cyprus,-1,"""czech republic"": {""cyprus"":-1,},"
Czech Republic,Italy,-1,-1,,,,czech republic,italy,-1,"""czech republic"": {""italy"":-1,},"
Czech Republic,Montenegro,-1,-1,,,,czech republic,montenegro,-1,"""czech republic"": {""montenegro"":-1,},"
Czech Republic,San Marino,-1,-1,,,,czech republic,san marino,-1,"""czech republic"": {""san marino"":-1,},"
Czech Republic,Slovakia,-1,-1,,,,czech republic,slovakia,-1,"""czech republic"": {""slovakia"":-1,},"
Czech Republic,Switzerland,-1,-1,,,,czech republic,switzerland,-1,"""czech republic"": {""switzerland"":-1,},"
Czech Republic,The Netherlands,-1,-1,,,,czech republic,the netherlands,-1,"""czech republic"": {""the netherlands"":-1,},"
Czech Republic,Albania,0,0,,,,czech republic,albania,0,"""czech republic"": {""albania"":0,},"
Czech Republic,Armenia,11,11,,,,czech republic,armenia,11,"""czech republic"": {""armenia"":11.3,},"
Czech Republic,Azerbaijan,10,10,,,,czech republic,azerbaijan,10,"""czech republic"": {""azerbaijan"":10,},"
Czech Republic,Belarus,2,2,,,,czech republic,belarus,2,"""czech republic"": {""belarus"":2,},"
Czech Republic,Bosnia & Herzegovina,2,2,,,,czech republic,bosnia & herzegovina,2,"""czech republic"": {""bosnia & herzegovina"":1.7,},"
Czech Republic,Bulgaria,7,7,,,,czech republic,bulgaria,7,"""czech republic"": {""bulgaria"":7,},"
Czech Republic,Croatia,0,0,,,,czech republic,croatia,0,"""czech republic"": {""croatia"":0,},"
Czech Republic,Denmark,1,1,,,,czech republic,denmark,1,"""czech republic"": {""denmark"":1,},"
Czech Republic,Estonia,0,0,,,,czech republic,estonia,0,"""czech republic"": {""estonia"":0,},"
Czech Republic,F.Y.R. Macedonia,5,5,,,,czech republic,f.y.r. macedonia,5,"""czech republic"": {""f.y.r. macedonia"":5,},"
Czech Republic,Finland,0,0,,,,czech republic,finland,0,"""czech republic"": {""finland"":0,},"
Czech Republic,France,0,0,,,,czech republic,france,0,"""czech republic"": {""france"":0,},"
Czech Republic,Georgia,3,3,,,,czech republic,georgia,3,"""czech republic"": {""georgia"":2.5,},"
Czech Republic,Germany,0,0,,,,czech republic,germany,0,"""czech republic"": {""germany"":0,},"
Czech Republic,Greece,3,3,,,,czech republic,greece,3,"""czech republic"": {""greece"":2.7,},"
Czech Republic,Hungary,0,0,,,,czech republic,hungary,0,"""czech republic"": {""hungary"":0,},"
Czech Republic,Iceland,1,1,,,,czech republic,iceland,1,"""czech republic"": {""iceland"":1,},"
Czech Republic,Ireland,0,0,,,,czech republic,ireland,0,"""czech republic"": {""ireland"":0,},"
Czech Republic,Israel,2,2,,,,czech republic,israel,2,"""czech republic"": {""israel"":2,},"
Czech Republic,Latvia,2,2,,,,czech republic,latvia,2,"""czech republic"": {""latvia"":1.5,},"
Czech Republic,Lithuania,0,0,,,,czech republic,lithuania,0,"""czech republic"": {""lithuania"":0,},"
Czech Republic,Malta,0,0,,,,czech republic,malta,0,"""czech republic"": {""malta"":0,},"
Czech Republic,Moldova,0,0,,,,czech republic,moldova,0,"""czech republic"": {""moldova"":0,},"
Czech Republic,Norway,2,2,,,,czech republic,norway,2,"""czech republic"": {""norway"":1.5,},"
Czech Republic,Poland,0,0,,,,czech republic,poland,0,"""czech republic"": {""poland"":0,},"
Czech Republic,Portugal,4,4,,,,czech republic,portugal,4,"""czech republic"": {""portugal"":3.5,},"
Czech Republic,Romania,0,0,,,,czech republic,romania,0,"""czech republic"": {""romania"":0,},"
Czech Republic,Russia,7,7,,,,czech republic,russia,7,"""czech republic"": {""russia"":7,},"
Czech Republic,Serbia,7,7,,,,czech republic,serbia,7,"""czech republic"": {""serbia"":7,},"
Czech Republic,Slovenia,0,0,,,,czech republic,slovenia,0,"""czech republic"": {""slovenia"":0,},"
Czech Republic,Spain,0,0,,,,czech republic,spain,0,"""czech republic"": {""spain"":0,},"
Czech Republic,Sweden,0,0,,,,czech republic,sweden,0,"""czech republic"": {""sweden"":0,},"
Czech Republic,Turkey,0,0,,,,czech republic,turkey,0,"""czech republic"": {""turkey"":0.3,},"
Czech Republic,U.K.,2,2,,,,czech republic,u.k.,2,"""czech republic"": {""u.k."":2,},"
Czech Republic,Ukraine,8,8,,,,czech republic,ukraine,8,"""czech republic"": {""ukraine"":8.3,},"
Denmark,Denmark,-1,-1,,,,denmark,denmark,-1,"""denmark"": {""denmark"":-1,},"
Denmark,Slovakia,-1,-1,,,,denmark,slovakia,-1,"""denmark"": {""slovakia"":-1,},"
Denmark,Albania,2,2,,,,denmark,albania,2,"""denmark"": {""albania"":1.5,},"
Denmark,Armenia,0,0,,,,denmark,armenia,0,"""denmark"": {""armenia"":0.3,},"
Denmark,Austria,3,3,,,,denmark,austria,3,"""denmark"": {""austria"":2.8,},"
Denmark,Azerbaijan,1,1,,,,denmark,azerbaijan,1,"""denmark"": {""azerbaijan"":1.4,},"
Denmark,Belarus,0,0,,,,denmark,belarus,0,"""denmark"": {""belarus"":0,},"
Denmark,Belgium,3,3,,,,denmark,belgium,3,"""denmark"": {""belgium"":2.7,},"
Denmark,Bosnia & Herzegovina,4,4,,,,denmark,bosnia & herzegovina,4,"""denmark"": {""bosnia & herzegovina"":3.5,},"
